City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,mabaruma,8.2,-59.7833,28.14,85,99,2.25,GY,1686589965
193,hawaiian paradise park,19.5933,-154.9731,22.72,91,100,0.0,US,1686589965
194,baiti,13.745,-14.7482,39.92,22,55,1.99,SN,1686589965
195,santa ana,33.7456,-117.8678,21.14,81,100,1.54,US,1686589665
196,tlaltenango de sanchez roman,21.7833,-103.3167,31.24,19,5,0.65,MX,1686589965
197,brookings,44.3114,-96.7984,23.36,38,0,4.63,US,1686589858
198,luderitz,-26.6481,15.1594,14.51,85,0,5.1,NA,1686589966
199,hassi messaoud,31.6804,6.0729,39.92,12,0,3.09,DZ,1686589966
200,valparaiso,-33.0393,-71.6273,13.89,67,0,5.14,CL,1686589945
201,ghazni,33.5536,68.4269,23.82,21,62,1.97,AF,1686589966
202,san rafael,-34.6177,-68.3301,9.1,21,0,1.9,AR,1686589956
203,neiafu,-18.65,-173.9833,23.38,94,75,0.0,TO,1686589967
204,sosnovo,60.5514,30.2144,18.1,38,11,2.14,RU,1686589967
205,kawambwa,-9.7915,29.0791,19.0,46,65,1.12,ZM,1686589967
206,plover,44.4564,-89.544,19.47,38,100,3.6,US,1686589967
207,sechura,-5.5569,-80.8222,27.36,59,13,5.77,PE,1686589968
208,heiligenhafen,54.3667,10.9833,17.18,70,0,8.33,DE,1686589968
209,aldan,58.6031,125.3894,2.18,99,100,2.16,RU,1686589968
210,ilulissat,69.2167,-51.1,2.01,93,100,4.63,GL,1686589968
211,nong phai,15.9903,101.0618,25.84,86,99,1.96,TH,1686589969
212,ryotsu-minato,38.0833,138.4333,19.78,86,100,1.07,JP,1686589969
213,choma,-16.8065,26.9531,18.53,36,45,1.68,ZM,1686589969
214,hirara,24.8,125.2833,26.31,89,100,5.36,JP,1686589970
215,campo grande,-20.4428,-54.6464,16.75,100,75,1.54,BR,1686589719
216,vila velha,-20.3297,-40.2925,28.97,70,20,5.66,BR,1686589970
217,san patricio,28.017,-97.5169,33.37,46,5,6.85,US,1686589822
218,rice lake,45.5061,-91.7382,22.43,43,40,3.09,US,1686589875
219,kapa'a,22.0752,-159.319,23.18,92,100,5.66,US,1686589971
220,sao joao da barra,-21.6403,-41.0511,31.05,63,0,4.14,BR,1686589677
221,gorom-gorom,14.4439,-0.2361,31.99,43,100,5.2,BF,1686589877
222,lisala,2.15,21.5167,22.22,97,99,1.86,CD,1686589971
223,krasnozerskoye,53.9828,79.2374,12.43,67,82,3.96,RU,1686589972
224,regina,50.4501,-104.6178,25.06,37,40,3.58,CA,1686589948
225,antsohihy,-14.8796,47.9875,21.7,81,1,1.24,MG,1686589972
226,san matias,-16.3667,-58.4,18.41,80,100,3.34,BO,1686589877
227,istgah-e rah ahan-e garmsar,35.2346,52.3094,33.53,23,21,0.83,IR,1686589972
228,kununurra,-15.7667,128.7333,16.99,82,40,0.0,AU,1686589973
229,ruidoso,33.3317,-105.673,23.2,18,0,9.26,US,1686589973
230,qaqortoq,60.7167,-46.0333,8.83,57,96,3.36,GL,1686589973
231,bukoba,-1.3317,31.8122,21.76,70,75,2.4,TZ,1686589973
232,rosarito,32.3333,-117.0333,19.03,75,70,3.2,MX,1686589974
233,flin flon,54.7682,-101.865,24.91,53,40,2.06,CA,1686589974
234,savoy,45.5,6.4167,16.58,48,100,2.09,FR,1686589974
235,kailua-kona,19.6406,-155.9956,24.98,84,40,1.54,US,1686589974
236,murzuq,25.9155,13.9184,37.34,13,0,6.76,LY,1686589974
237,san pedro pochutla,15.7333,-96.4667,34.28,51,18,3.42,MX,1686589975
238,polyarnyy,69.1989,33.4478,16.78,44,98,6.35,RU,1686589975
239,wau,7.7029,27.9953,27.04,60,65,2.21,SS,1686589975
240,tchintabaraden,15.8969,5.7985,29.08,57,79,3.81,NE,1686589975
241,ovalle,-30.5983,-71.2003,15.97,47,0,1.64,CL,1686589975
242,kintampo,8.0563,-1.7306,26.28,77,100,0.9,GH,1686589976
243,new norfolk,-42.7826,147.0587,8.73,78,74,1.11,AU,1686589976
244,inarajan village,13.2736,144.7484,28.54,93,99,5.85,GU,1686589976
245,alaghsas,17.0187,8.0168,32.75,32,35,9.24,NE,1686589976
246,bar,49.0772,27.6826,9.58,98,100,3.81,UA,1686589977
247,bisalpur,28.3,79.8,33.09,36,23,4.27,IN,1686589977
248,mahdia,35.5047,11.0622,26.97,52,0,4.95,TN,1686589977
249,turkmenabat,39.0733,63.5786,32.2,12,1,5.13,TM,1686589977
250,kupang,-10.1667,123.5833,24.17,75,47,5.76,ID,1686589978
251,graham,47.0529,-122.2943,22.85,68,0,3.09,US,1686589978
252,ibicui,-14.8417,-39.9867,28.76,43,6,2.32,BR,1686589978
253,saudarkrokur,65.7461,-19.6394,16.15,47,98,2.3,IS,1686589979
254,chulakkurgan,43.765,69.1814,24.68,16,18,6.69,KZ,1686589979
255,birao,10.2849,22.7882,30.88,45,77,2.53,CF,1686589979
256,haiku-pauwela,20.9219,-156.3051,24.01,70,20,6.69,US,1686589979
257,puerto maldonado,-12.6,-69.1833,26.22,83,75,0.51,PE,1686589979
258,shanhaiguan,39.9988,119.7564,15.37,82,88,2.17,CN,1686589980
259,yeniseysk,58.4497,92.1703,11.85,58,39,3.23,RU,1686589980
260,bozoum,6.3193,16.3799,21.9,88,95,0.96,CF,1686589980
261,kavaratti,10.5669,72.642,29.67,77,100,8.88,IN,1686589980
262,tecozautla,20.5333,-99.6333,29.38,27,2,1.91,MX,1686589981
263,awjilah,29.1081,21.2869,35.14,21,0,11.43,LY,1686589981
264,seguela,7.9611,-6.6731,26.01,83,86,2.98,CI,1686589981
265,acarau,-2.8856,-40.12,28.22,75,43,6.5,BR,1686589944
266,taoudenni,22.6783,-3.9836,42.81,8,3,4.26,ML,1686589982
267,hithadhoo,-0.6,73.0833,28.83,72,63,2.57,MV,1686589982
268,lebu,-37.6167,-73.65,10.13,66,1,7.92,CL,1686589982
269,goure,13.9835,10.2704,35.93,29,7,0.45,NE,1686589982
270,chui,-33.6971,-53.4616,12.88,42,1,5.41,UY,1686589982
271,andergrove,-21.0833,149.1833,19.8,90,68,2.05,AU,1686589983
272,kavieng,-2.5744,150.7967,26.76,82,52,3.03,PG,1686589983
273,san antonio de pale,-1.4014,5.6325,24.89,87,100,2.85,GQ,1686589983
274,mafinga,-7.25,35.0667,25.2,35,74,1.83,TZ,1686589983
275,lukolela,-1.0605,17.1821,25.12,74,48,0.99,CD,1686589881
276,port-vila,-17.7338,168.3219,22.95,82,91,6.62,VU,1686589984
277,kwekwe,-18.9281,29.8149,20.69,30,73,2.62,ZW,1686589984
278,uturoa,-16.7333,-151.4333,27.02,69,59,9.02,PF,1686589984
279,cobija,-11.0267,-68.7692,29.34,78,27,1.72,BO,1686589985
